"IFC Region","Country","Number of enterprises","IFC Cumulative Commitments (US$ Thousands)","Loan & Guarantee participations Cumulative Commitments (US$ Thousands)","TOTAL","Fiscal Year","As of Date"
"Sub-Saharan Africa","Malawi",20,158109.76,9500,167609.76,"FY13","06/30/2013"
"Sub-Saharan Africa","Mali",23,179233.66,40000,219233.66,"FY13","06/30/2013"
"Sub-Saharan Africa","Mauritania",14,269664.4,9503,279167.01,"FY13","06/30/2013"
"Sub-Saharan Africa","Mauritius",17,130794.85,96,130890.85,"FY13","06/30/2013"
"Sub-Saharan Africa","Mozambique",27,337103.73,0,337103.73,"FY13","06/30/2013"
"Sub-Saharan Africa","Namibia",6,44969.29,0,44969.29,"FY13","06/30/2013"
"Sub-Saharan Africa","Niger",3,22808.13,0,22808.13,"FY13","06/30/2013"
"Sub-Saharan Africa","Nigeria",95,5910464.88,312155,6222619.91,"FY13","06/30/2013"
"Sub-Saharan Africa","Rwanda",15,96341.23,0,96341.23,"FY13","06/30/2013"
"Sub-Saharan Africa","Sao Tome and Principe",1,501.11,0,501.11,"FY13","06/30/2013"
"Sub-Saharan Africa","Senegal",31,267871.52,12398,280269.51,"FY13","06/30/2013"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY13","06/30/2013"
"Sub-Saharan Africa","Sierra Leone",9,69007.92,25000,94007.92,"FY13","06/30/2013"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY13","06/30/2013"
"Sub-Saharan Africa","South Africa",83,2211244.53,15000,2226244.53,"FY13","06/30/2013"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY13","06/30/2013"
"Sub-Saharan Africa","Sudan",6,27267.78,6489,33756.57,"FY13","06/30/2013"
"Sub-Saharan Africa","Swaziland",9,47779.49,0,47779.49,"FY13","06/30/2013"
"Sub-Saharan Africa","Tanzania",57,322728.31,13041,335768.82,"FY13","06/30/2013"
"Sub-Saharan Africa","Togo",11,190327.38,0,190327.38,"FY13","06/30/2013"
"Sub-Saharan Africa","Uganda",51,371982.78,13088,385071.14,"FY13","06/30/2013"
"Sub-Saharan Africa","Zambia",37,243785.69,20286,264071.51,"FY13","06/30/2013"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY13","06/30/2013"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",85,2459664.21,61906,2521570.18,"FY13","06/30/2013"
"East Asia and the Pacific","Cambodia",10,151727.93,60000,211727.93,"FY13","06/30/2013"
"East Asia and the Pacific","China",233,5974551.07,1308109,7282660.36,"FY13","06/30/2013"
"East Asia and the Pacific","Fiji",8,47993.22,2500,50493.22,"FY13","06/30/2013"
"East Asia and the Pacific","Indonesia",118,3142475.77,1768655,4911131.14,"FY13","06/30/2013"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY13","06/30/2013"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY13","06/30/2013"
"East Asia and the Pacific","Lao People's Democratic Republic",11,49951.8,0,49951.8,"FY13","06/30/2013"
"East Asia and the Pacific","Malaysia",12,154868.4,5389,160257.52,"FY13","06/30/2013"
"East Asia and the Pacific","Mongolia",16,304511.46,0,304511.46,"FY13","06/30/2013"
"East Asia and the Pacific","Myanmar",1,2000,0,2000,"FY13","06/30/2013"
"East Asia and the Pacific","Papua New Guinea",10,323894.76,0,323894.76,"FY13","06/30/2013"
"East Asia and the Pacific","Philippines",101,2685757.39,695880,3381636.99,"FY13","06/30/2013"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY13","06/30/2013"
"East Asia and the Pacific","Singapore",1,546.75,0,546.75,"FY13","06/30/2013"
"East Asia and the Pacific","Solomon Islands",1,35000,0,35000,"FY13","06/30/2013"
"East Asia and the Pacific","Thailand",84,2000805.11,1748419,3749224.45,"FY13","06/30/2013"
"East Asia and the Pacific","Timor-Leste",1,500,0,500,"FY13","06/30/2013"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY13","06/30/2013"
"East Asia and the Pacific","Vanuatu",3,16604.05,0,16604.05,"FY13","06/30/2013"
"East Asia and the Pacific","Vietnam",50,3428694.55,253135,3681829.55,"FY13","06/30/2013"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",39,1141814.03,0,1141814.03,"FY13","06/30/2013"
"South Asia","Bangladesh",36,1607442.15,92745,1700187.55,"FY13","06/30/2013"
"South Asia","Bhutan",3,43245.9,0,43245.9,"FY13","06/30/2013"
"South Asia","India",365,9540409.04,1648640,11189048.8,"FY13","06/30/2013"
"South Asia","Maldives",7,168250,8500,176750,"FY13","06/30/2013"
"South Asia","Nepal",18,172888.9,36000,208888.9,"FY13","06/30/2013"
"South Asia","Sri Lanka",39,573143.57,23616,596759.17,"FY13","06/30/2013"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY16","06/30/2016"
"South Asia","Regional Investments: South Asia",9,221570,0,221570,"FY13","06/30/2013"
"Europe and Central Asia","Albania",19,442129.29,9893,452022.25,"FY13","06/30/2013"
"Europe and Central Asia","Armenia",13,271543.85,0,271543.85,"FY13","06/30/2013"
"Europe and Central Asia","Azerbaijan",26,533557.17,197930,731487.17,"FY13","06/30/2013"
"Europe and Central Asia","Belarus",17,420158.5,0,420158.5,"FY13","06/30/2013"
"Europe and Central Asia","Bosnia and Herzegovina",30,333885.34,10578,344462.89,"FY13","06/30/2013"
"Europe and Central Asia","Bulgaria",25,674179.28,183647,857825.99,"FY13","06/30/2013"
"Europe and Central Asia","Croatia",19,607865.26,197097,804962.03,"FY13","06/30/2013"
"Europe and Central Asia","Czech Republic",18,455175.92,245588,700763.84,"FY13","06/30/2013"
"Europe and Central Asia","Estonia",11,137806.09,11855,149661.07,"FY13","06/30/2013"
"Europe and Central Asia","Georgia",21,646286,11500,657786,"FY13","06/30/2013"
"Europe and Central Asia","Hungary",34,437985.38,70335,508320.21,"FY13","06/30/2013"
"Europe and Central Asia","Kazakhstan",33,1348544.99,282917,1631461.65,"FY13","06/30/2013"
"Europe and Central Asia","Kosovo",3,33904.39,0,33904.39,"FY13","06/30/2013"
"Europe and Central Asia","Kyrgyz Republic",15,102396.17,0,102396.17,"FY13","06/30/2013"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY13","06/30/2013"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY13","06/30/2013"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of",15,207445.17,25000,232445.17,"FY13","06/30/2013"
"Europe and Central Asia","Moldova",18,233322.94,45000,278322.94,"FY13","06/30/2013"
"Europe and Central Asia","Montenegro",6,86754.2,0,86754.2,"FY13","06/30/2013"
"Europe and Central Asia","Poland",44,438121.43,115317,553438.27,"FY13","06/30/2013"
"Europe and Central Asia","Romania",41,1637840.32,478163,2116003.78,"FY13","06/30/2013"
"Europe and Central Asia","Russian Federation",191,8087572.01,2448372,10535943.96,"FY13","06/30/2013"
"Europe and Central Asia","Serbia",38,1320017.29,135630,1455647.54,"FY13","06/30/2013"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY13","06/30/2013"
"Europe and Central Asia","Slovenia",12,241309.47,47383,288692.18,"FY13","06/30/2013"
"Europe and Central Asia","Tajikistan",17,76157.02,0,76157.02,"FY13","06/30/2013"
"Europe and Central Asia","Turkey",170,6975595.82,3443543,10419138.99,"FY13","06/30/2013"
"Europe and Central Asia","Ukraine",49,1981937.93,686700,2668637.93,"FY13","06/30/2013"
"Europe and Central Asia","Uzbekistan",17,93974.63,12900,106874.63,"FY13","06/30/2013"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",56,2273450.29,200880,2474330.31,"FY13","06/30/2013"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY13","06/30/2013"
"Latin America and the Caribbean","Argentina",191,4820480.97,3654163,8474643.97,"FY13","06/30/2013"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY13","06/30/2013"
"Latin America and the Caribbean","Belize",4,28663.68,11000,39663.68,"FY13","06/30/2013"
"Latin America and the Caribbean","Bolivia",29,460894.9,140500,601394.9,"FY13","06/30/2013"
"Latin America and the Caribbean","Brazil",244,11978012.96,6037822,18015834.79,"FY13","06/30/2013"
"Latin America and the Caribbean","Chile",56,1685509.47,1160605,2846114.13,"FY13","06/30/2013"
"Latin America and the Caribbean","Colombia",117,2670627.64,1168631,3839258.67,"FY13","06/30/2013"
"Latin America and the Caribbean","Costa Rica",30,463188.65,99709,562897.47,"FY13","06/30/2013"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY13","06/30/2013"
"Latin America and the Caribbean","Dominican Republic",36,635278.99,241850,877128.99,"FY13","06/30/2013"
"Latin America and the Caribbean","Ecuador",23,348127.51,39240,387367.56,"FY13","06/30/2013"
"Latin America and the Caribbean","El Salvador",18,339883.07,113500,453383.07,"FY13","06/30/2013"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY13","06/30/2013"
"Latin America and the Caribbean","Guatemala",26,966587.94,210000,1176587.94,"FY13","06/30/2013"
"Latin America and the Caribbean","Guyana",7,31416.96,0,31416.96,"FY13","06/30/2013"
"Latin America and the Caribbean","Haiti",11,94664.48,25250,119914.48,"FY13","06/30/2013"
"Latin America and the Caribbean","Honduras",20,828560.21,124401,952960.96,"FY13","06/30/2013"
"Latin America and the Caribbean","Jamaica",22,426295.6,194244,620540.09,"FY13","06/30/2013"
"Latin America and the Caribbean","Mexico",191,6294797.81,2607134,8901931.34,"FY13","06/30/2013"
"Latin America and the Caribbean","Nicaragua",21,359942.05,12429,372370.62,"FY13","06/30/2013"
"Latin America and the Caribbean","Panama",27,1554605.99,153300,1707905.99,"FY13","06/30/2013"
"Latin America and the Caribbean","Paraguay",15,721596.29,10000,731596.29,"FY13","06/30/2013"
"Latin America and the Caribbean","Peru",72,2013978.68,923871,2937849.88,"FY13","06/30/2013"
"Latin America and the Caribbean","St. Lucia",3,45421.91,0,45421.91,"FY13","06/30/2013"
"Latin America and the Caribbean","Suriname",1,3065.88,0,3065.88,"FY13","06/30/2013"
"Latin America and the Caribbean","Trinidad and Tobago",15,358653.74,235000,593653.74,"FY13","06/30/2013"
"Latin America and the Caribbean","Uruguay",18,337853.55,120000,457853.55,"FY13","06/30/2013"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791,1601020.96,"FY13","06/30/2013"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",71,1516641.41,350000,1866641.41,"FY13","06/30/2013"
"Middle East and North Africa","Afghanistan",8,220372.83,0,220372.83,"FY13","06/30/2013"
"Middle East and North Africa","Algeria",14,253557.27,5557,259114.17,"FY13","06/30/2013"
"Middle East and North Africa","Bahrain",1,216274.05,0,216274.05,"FY13","06/30/2013"
"Middle East and North Africa","Egypt, Arab Republic of",90,2646568.75,789871,3436440,"FY13","06/30/2013"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199,71542.37,"FY13","06/30/2013"
"Middle East and North Africa","Iraq",7,402024.99,50000,452024.99,"FY13","06/30/2013"
"Middle East and North Africa","Jordan",45,1109100.55,380384,1489484.55,"FY13","06/30/2013"
"Middle East and North Africa","Lebanon",35,2095376.55,230430,2325806.55,"FY13","06/30/2013"
"Middle East and North Africa","Morocco",41,855237.83,515014,1370251.92,"FY13","06/30/2013"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY13","06/30/2013"
"Middle East and North Africa","Pakistan",127,4395495.3,607970,5003465.43,"FY13","06/30/2013"
"Middle East and North Africa","Saudi Arabia",8,261286.04,0,261286.04,"FY13","06/30/2013"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY13","06/30/2013"
"Middle East and North Africa","Tunisia",29,458686.92,417228,875914.72,"FY13","06/30/2013"
"Middle East and North Africa","United Arab Emirates",2,30000,0,30000,"FY13","06/30/2013"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56105,262108.86,"FY13","06/30/2013"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",39,1592181.22,3000,1595181.22,"FY13","06/30/2013"
"Worldwide","Australia",2,975,0,975,"FY13","06/30/2013"
"Worldwide","Cyprus",7,32181.47,645,32826.72,"FY13","06/30/2013"
"Worldwide","Finland",4,1233.13,1915,3147.64,"FY13","06/30/2013"
"Worldwide","Greece",6,25742.34,40131,65873.59,"FY13","06/30/2013"
"Worldwide","Israel",1,10500,0,10500,"FY13","06/30/2013"
"Worldwide","Italy",1,960,0,960,"FY13","06/30/2013"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY13","06/30/2013"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY13","06/30/2013"
"Worldwide","Regional Investments: Worldwide",109,6198359.91,183000,6381359.91,"FY13","06/30/2013"
"Worldwide","Other",24,304853.32,11400,316253.32,"FY13","06/30/2013"
"Sub-Saharan Africa","Angola",7,251966.1,0,251966.1,"FY12","06/30/2012"
"Sub-Saharan Africa","Benin",10,95082.89,0,95082.89,"FY12","06/30/2012"
"Sub-Saharan Africa","Botswana",6,33454.1,0,33454.1,"FY12","06/30/2012"
"Sub-Saharan Africa","Burkina Faso",14,75412.57,0,75412.57,"FY12","06/30/2012"
"Sub-Saharan Africa","Burundi",8,46260.51,0,46260.51,"FY12","06/30/2012"
"Sub-Saharan Africa","Cameroon",37,572108.63,471500,1043608.63,"FY12","06/30/2012"
"Sub-Saharan Africa","Cape Verde",6,15901.91,0,15901.91,"FY12","06/30/2012"
"Sub-Saharan Africa","Central African Republic",1,5528.39,0,5528.39,"FY12","06/30/2012"
"Sub-Saharan Africa","Chad",7,46644.17,13900,60544.17,"FY12","06/30/2012"
"Sub-Saharan Africa","Congo, Democratic Republic of",20,237721.27,94000,331721.27,"FY12","06/30/2012"
"Sub-Saharan Africa","Congo, Republic of",7,124910.32,25000,149910.32,"FY12","06/30/2012"
"Sub-Saharan Africa","Cote d'Ivoire",47,317183.71,70964,388147.51,"FY12","06/30/2012"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY12","06/30/2012"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY12","06/30/2012"
"Sub-Saharan Africa","Ethiopia",8,98927.52,1719,100646.52,"FY12","06/30/2012"
"Sub-Saharan Africa","Gabon",5,145588.01,110000,255588.01,"FY12","06/30/2012"
"Sub-Saharan Africa","Gambia, The",10,20192.78,0,20192.78,"FY12","06/30/2012"
"Sub-Saharan Africa","Ghana",68,1518157.36,432750,1950907.36,"FY12","06/30/2012"
"Sub-Saharan Africa","Guinea",11,219683.59,0,219683.59,"FY12","06/30/2012"
"Sub-Saharan Africa","Guinea-Bissau",4,7245.99,0,7245.99,"FY12","06/30/2012"
"Sub-Saharan Africa","Kenya",85,1090774.42,59295,1150069.05,"FY12","06/30/2012"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY12","06/30/2012"
"Sub-Saharan Africa","Liberia",7,45070.43,0,45070.43,"FY12","06/30/2012"
"Sub-Saharan Africa","Madagascar",21,183942.13,21000,204942.13,"FY12","06/30/2012"
"Sub-Saharan Africa","Malawi",20,148769.51,9500,158269.51,"FY12","06/30/2012"
"Sub-Saharan Africa","Mali",23,162469.22,40000,202469.22,"FY12","06/30/2012"
"Sub-Saharan Africa","Mauritania",13,121775.12,9503,131277.73,"FY12","06/30/2012"
"Sub-Saharan Africa","Mauritius",16,123794.85,96,123890.85,"FY12","06/30/2012"
"Sub-Saharan Africa","Mozambique",27,317455.85,0,317455.85,"FY12","06/30/2012"
"Sub-Saharan Africa","Namibia",6,44969.29,0,44969.29,"FY12","06/30/2012"
"Sub-Saharan Africa","Niger",3,18808.13,0,18808.13,"FY12","06/30/2012"
"Sub-Saharan Africa","Nigeria",88,4975954.73,237155,5213109.77,"FY12","06/30/2012"
"Sub-Saharan Africa","Rwanda",15,79253.48,0,79253.48,"FY12","06/30/2012"
"Sub-Saharan Africa","Sao Tome and Principe",1,299.52,0,299.52,"FY12","06/30/2012"
"Sub-Saharan Africa","Senegal",31,248209.59,12398,260607.58,"FY12","06/30/2012"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY12","06/30/2012"
"Sub-Saharan Africa","Sierra Leone",8,66851.03,25000,91851.03,"FY12","06/30/2012"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY12","06/30/2012"
"Sub-Saharan Africa","South Africa",76,1807870.02,15000,1822870.02,"FY12","06/30/2012"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY12","06/30/2012"
"Sub-Saharan Africa","Sudan",6,27267.78,6489,33756.57,"FY12","06/30/2012"
"Sub-Saharan Africa","Swaziland",9,47779.49,0,47779.49,"FY12","06/30/2012"
"Sub-Saharan Africa","Tanzania",54,306723.19,13041,319763.71,"FY12","06/30/2012"
"Sub-Saharan Africa","Togo",11,181396.56,0,181396.56,"FY12","06/30/2012"
"Sub-Saharan Africa","Uganda",50,330190.06,13088,343278.43,"FY12","06/30/2012"
"Sub-Saharan Africa","Zambia",37,242425.49,20286,262711.31,"FY12","06/30/2012"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY12","06/30/2012"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",72,2034084.93,1906,2035990.9,"FY12","06/30/2012"
"East Asia and the Pacific","Cambodia",10,136245.16,60000,196245.16,"FY12","06/30/2012"
"East Asia and the Pacific","China",210,4978735.03,1233109,6211844.32,"FY12","06/30/2012"
"East Asia and the Pacific","Fiji",8,47993.22,2500,50493.22,"FY12","06/30/2012"
"East Asia and the Pacific","Indonesia",112,3140202.8,1724655,4864858.17,"FY12","06/30/2012"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY12","06/30/2012"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY12","06/30/2012"
"East Asia and the Pacific","Lao People's Democratic Republic",10,41951.8,0,41951.8,"FY12","06/30/2012"
"East Asia and the Pacific","Malaysia",12,154868.4,5389,160257.52,"FY12","06/30/2012"
"East Asia and the Pacific","Mongolia",15,209510.39,0,209510.39,"FY12","06/30/2012"
"East Asia and the Pacific","Papua New Guinea",8,250638.84,0,250638.84,"FY12","06/30/2012"
"East Asia and the Pacific","Philippines",97,2591053.25,695880,3286932.85,"FY12","06/30/2012"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY12","06/30/2012"
"East Asia and the Pacific","Singapore",1,546.75,0,546.75,"FY12","06/30/2012"
"East Asia and the Pacific","Solomon Islands",1,35000,0,35000,"FY12","06/30/2012"
"East Asia and the Pacific","Thailand",79,1571757.54,1748419,3320176.87,"FY12","06/30/2012"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY12","06/30/2012"
"East Asia and the Pacific","Vanuatu",3,16604.05,0,16604.05,"FY12","06/30/2012"
"East Asia and the Pacific","Vietnam",48,2623689.56,253135,2876824.56,"FY12","06/30/2012"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",36,971614.03,0,971614.03,"FY12","06/30/2012"
"South Asia","Bangladesh",30,1034383.51,52745,1087128.91,"FY12","06/30/2012"
"South Asia","Bhutan",3,13658.55,0,13658.55,"FY12","06/30/2012"
"South Asia","India",340,8542806.28,1371640,9914446.05,"FY12","06/30/2012"
"South Asia","Maldives",7,168250,8500,176750,"FY12","06/30/2012"
"South Asia","Nepal",18,151240.25,36000,187240.25,"FY12","06/30/2012"
"South Asia","Sri Lanka",35,512070.77,23616,535686.37,"FY12","06/30/2012"
"South Asia","Regional Investments: South Asia",10,271570,0,271570,"FY12","06/30/2012"
"Europe and Central Asia","Albania",18,380273.09,9893,390166.05,"FY12","06/30/2012"
"Europe and Central Asia","Armenia",12,238409.46,0,238409.46,"FY12","06/30/2012"
"Europe and Central Asia","Azerbaijan",26,489129.07,197930,687059.07,"FY12","06/30/2012"
"Europe and Central Asia","Belarus",17,340496.04,0,340496.04,"FY12","06/30/2012"
"Europe and Central Asia","Bosnia and Herzegovina",29,300854.94,10578,311432.49,"FY12","06/30/2012"
"Europe and Central Asia","Bulgaria",25,645749.41,183647,829396.12,"FY12","06/30/2012"
"Europe and Central Asia","Croatia",16,552114.28,166695,718809.76,"FY12","06/30/2012"
"Europe and Central Asia","Czech Republic",18,455175.92,245588,700763.84,"FY12","06/30/2012"
"Europe and Central Asia","Estonia",11,137806.09,11855,149661.07,"FY12","06/30/2012"
"Europe and Central Asia","Georgia",17,573056.69,11500,584556.69,"FY12","06/30/2012"
"Europe and Central Asia","Hungary",34,437985.38,70335,508320.21,"FY12","06/30/2012"
"Europe and Central Asia","Kazakhstan",32,1202439.21,282917,1485355.87,"FY12","06/30/2012"
"Europe and Central Asia","Kosovo",3,27799.54,0,27799.54,"FY12","06/30/2012"
"Europe and Central Asia","Kyrgyz Republic",15,101536.17,0,101536.17,"FY12","06/30/2012"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY12","06/30/2012"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY12","06/30/2012"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of",14,200678,25000,225678,"FY12","06/30/2012"
"Europe and Central Asia","Moldova",17,201070.94,25000,226070.94,"FY12","06/30/2012"
"Europe and Central Asia","Montenegro",6,86754.2,0,86754.2,"FY12","06/30/2012"
"Europe and Central Asia","Poland",44,438121.43,115317,553438.27,"FY12","06/30/2012"
"Europe and Central Asia","Romania",39,1478080.6,478163,1956244.06,"FY12","06/30/2012"
"Europe and Central Asia","Russian Federation",181,7180746.01,2296019,9476765.09,"FY12","06/30/2012"
"Europe and Central Asia","Serbia",36,1168590.93,135630,1304221.19,"FY12","06/30/2012"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY12","06/30/2012"
"Europe and Central Asia","Slovenia",11,211484.14,47383,258866.85,"FY12","06/30/2012"
"Europe and Central Asia","Tajikistan",17,75887.52,0,75887.52,"FY12","06/30/2012"
"Europe and Central Asia","Turkey",158,6030869.97,3443543,9474413.15,"FY12","06/30/2012"
"Europe and Central Asia","Ukraine",43,1682040.02,631700,2313740.02,"FY12","06/30/2012"
"Europe and Central Asia","Uzbekistan",17,93447.04,12900,106347.04,"FY12","06/30/2012"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",57,2197076.04,149007,2346083.06,"FY12","06/30/2012"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY12","06/30/2012"
"Latin America and the Caribbean","Argentina",191,4699380.8,3654163,8353543.81,"FY12","06/30/2012"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY12","06/30/2012"
"Latin America and the Caribbean","Belize",4,26936.86,11000,37936.86,"FY12","06/30/2012"
"Latin America and the Caribbean","Bolivia",29,449262.16,140500,589762.16,"FY12","06/30/2012"
"Latin America and the Caribbean","Brazil",235,10580635.91,5737822,16318457.74,"FY12","06/30/2012"
"Latin America and the Caribbean","Chile",53,1561952.46,1160605,2722557.13,"FY12","06/30/2012"
"Latin America and the Caribbean","Colombia",111,2530730.56,1168631,3699361.59,"FY12","06/30/2012"
"Latin America and the Caribbean","Costa Rica",27,379594.57,99709,479303.39,"FY12","06/30/2012"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY12","06/30/2012"
"Latin America and the Caribbean","Dominican Republic",34,601594.16,231850,833444.16,"FY12","06/30/2012"
"Latin America and the Caribbean","Ecuador",23,323127.51,39240,362367.56,"FY12","06/30/2012"
"Latin America and the Caribbean","El Salvador",18,330883.07,113500,444383.07,"FY12","06/30/2012"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY12","06/30/2012"
"Latin America and the Caribbean","Guatemala",24,793340.99,210000,1003340.99,"FY12","06/30/2012"
"Latin America and the Caribbean","Guyana",7,25877.19,0,25877.19,"FY12","06/30/2012"
"Latin America and the Caribbean","Haiti",10,81414.48,12000,93414.48,"FY12","06/30/2012"
"Latin America and the Caribbean","Honduras",19,649640.4,124401,774041.15,"FY12","06/30/2012"
"Latin America and the Caribbean","Jamaica",22,418795.6,186744,605540.09,"FY12","06/30/2012"
"Latin America and the Caribbean","Mexico",181,4967190.44,2217134,7184323.97,"FY12","06/30/2012"
"Latin America and the Caribbean","Nicaragua",20,291511.15,12429,303939.72,"FY12","06/30/2012"
"Latin America and the Caribbean","Panama",25,1421023.27,153300,1574323.27,"FY12","06/30/2012"
"Latin America and the Caribbean","Paraguay",15,605113.17,10000,615113.17,"FY12","06/30/2012"
"Latin America and the Caribbean","Peru",71,1824897.89,753621,2578519.09,"FY12","06/30/2012"
"Latin America and the Caribbean","St. Lucia",3,45421.91,0,45421.91,"FY12","06/30/2012"
"Latin America and the Caribbean","Suriname",1,1895.57,0,1895.57,"FY12","06/30/2012"
"Latin America and the Caribbean","Trinidad and Tobago",15,358653.74,235000,593653.74,"FY12","06/30/2012"
"Latin America and the Caribbean","Uruguay",17,298815.54,120000,418815.54,"FY12","06/30/2012"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791,1601020.96,"FY12","06/30/2012"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",63,1272732.97,320000,1592732.97,"FY12","06/30/2012"
"Middle East and North Africa","Afghanistan",7,153972.34,0,153972.34,"FY12","06/30/2012"
"Middle East and North Africa","Algeria",14,253557.27,5557,259114.17,"FY12","06/30/2012"
"Middle East and North Africa","Bahrain",1,216274.05,0,216274.05,"FY12","06/30/2012"
"Middle East and North Africa","Egypt, Arab Republic of",87,2707085.41,789871,3496956.67,"FY12","06/30/2012"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199,71542.37,"FY12","06/30/2012"
"Middle East and North Africa","Iraq",5,319896.06,50000,369896.06,"FY12","06/30/2012"
"Middle East and North Africa","Jordan",43,1050682.08,380384,1431066.08,"FY12","06/30/2012"
"Middle East and North Africa","Lebanon",33,1583129.46,230430,1813559.46,"FY12","06/30/2012"
"Middle East and North Africa","Morocco",38,772977.16,515014,1287991.25,"FY12","06/30/2012"
"Middle East and North Africa","Oman",7,230859.56,57000,287859.56,"FY12","06/30/2012"
"Middle East and North Africa","Pakistan",124,4050071.63,607970,4658041.75,"FY12","06/30/2012"
"Middle East and North Africa","Saudi Arabia",8,236286.04,0,236286.04,"FY12","06/30/2012"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY12","06/30/2012"
"Middle East and North Africa","Tunisia",27,447597.84,417228,864825.64,"FY12","06/30/2012"
"Middle East and North Africa","United Arab Emirates",3,75000,0,75000,"FY12","06/30/2012"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56105,262108.86,"FY12","06/30/2012"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",32,1042160.58,3000,1045160.58,"FY12","06/30/2012"
"Worldwide","Australia",2,975,0,975,"FY12","06/30/2012"
"Worldwide","Cyprus",7,32181.47,645,32826.72,"FY12","06/30/2012"
"Worldwide","Finland",4,1233.13,1915,3147.64,"FY12","06/30/2012"
"Worldwide","Greece",6,25742.34,40131,65873.59,"FY12","06/30/2012"
"Worldwide","Israel",1,10500,0,10500,"FY12","06/30/2012"
"Worldwide","Italy",1,960,0,960,"FY12","06/30/2012"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY12","06/30/2012"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY12","06/30/2012"
"Worldwide","Regional Investments: Worldwide",91,4728667.32,183000,4911667.32,"FY12","06/30/2012"
"Worldwide","Other",24,290028.97,11400,301428.97,"FY12","06/30/2012"
"Sub-Saharan Africa","Angola",9,439287.49,0,439287.49,"FY16","06/30/2016"
"Sub-Saharan Africa","Benin",11,265694.53,0,265694.53,"FY16","06/30/2016"
